doc,exp,sent_t,chain_t,umap_t,hdbscan_t,cluster_t
4490,allow_hierarchical,0,0.004,0.129,,0.002
4491,allow_hierarchical,0,0.0,0.086,,0.002
4492,allow_hierarchical,0,0.001,0.082,,0.003
4493,allow_hierarchical,0,0.003,0.108,,0.003
4494,allow_hierarchical,0,0.005,0.135,,0.003
4495,allow_hierarchical,0,0.003,0.07,,0.002
4496,allow_hierarchical,0,0.008,0.282,,0.006
4497,allow_hierarchical,0,0.004,0.207,,0.004
4498,allow_hierarchical,0,0.006,0.201,,0.003
4499,allow_hierarchical,0,0.0,0.015,,0.001
4500,allow_hierarchical,0,0.002,0.095,,0.002
4501,allow_hierarchical,0,0.003,0.153,,0.003
4502,allow_hierarchical,0,0.005,0.177,,0.003
4503,allow_hierarchical,0,0.0,0.043,,0.001
4504,allow_hierarchical,0,0.001,0.074,,0.002
4505,allow_hierarchical,0,0.004,0.309,,0.004
4506,allow_hierarchical,0,0.0,0.06,,0.002
4508,allow_hierarchical,0,0.003,0.186,,0.015
4509,allow_hierarchical,0,0.011,0.714,,0.008
4510,allow_hierarchical,0,0.006,0.245,,0.01
4511,allow_hierarchical,0,0.007,0.272,,0.003
4512,allow_hierarchical,0,0.003,0.272,,0.004
4513,allow_hierarchical,0,0.009,0.312,,0.004
4514,allow_hierarchical,0,0.023,0.595,,0.005
4515,allow_hierarchical,0,0.006,0.189,,0.004
4516,allow_hierarchical,0,0.017,0.456,,0.005
4517,allow_hierarchical,0,0.006,0.212,,0.002
4518,allow_hierarchical,0,0.005,0.199,,0.002
4519,allow_hierarchical,0,0.014,0.358,,0.006
4520,allow_hierarchical,0,0.003,0.112,,0.003
4521,allow_hierarchical,0,0.006,0.206,,0.003
4522,allow_hierarchical,0,0.002,0.133,,0.003
4523,allow_hierarchical,0,0.011,0.287,,0.005
4524,allow_hierarchical,0,0.01,0.361,,0.006
4525,allow_hierarchical,0,0.006,0.166,,0.004
4526,allow_hierarchical,0,0.001,0.086,,0.002
4527,allow_hierarchical,0,0.006,0.17,,0.003
4528,allow_hierarchical,0,0.001,0.084,,0.002
4529,allow_hierarchical,0,0.003,0.128,,0.003
4530,allow_hierarchical,0,0.007,0.142,,0.003
