doc,exp,sent_t,chain_t,umap_t,cluster_t
385,mpnet,0,0.01,0.206,0.003
386,mpnet,0,0.002,0.066,0.002
387,mpnet,0,0.002,0.075,0.002
388,mpnet,0,0.005,0.13,0.003
389,mpnet,0,0.0,0.037,0.002
390,mpnet,0,0.0,0.035,0.002
391,mpnet,0,0.004,0.067,0.002
392,mpnet,0,0.005,0.095,0.003
393,mpnet,0,0.006,0.217,0.004
394,mpnet,0,0.005,0.186,0.004
395,mpnet,0,0.003,0.122,0.002
396,mpnet,0,0.0,0.088,0.002
397,mpnet,0,0.006,0.111,0.002
398,mpnet,0,0.003,0.07,0.002
399,mpnet,0,0.002,0.107,0.002
400,mpnet,0,0.0,0.06,0.001
401,mpnet,0,0.004,0.089,0.002
402,mpnet,0,0.0,0.043,0.002
403,mpnet,0,0.001,0.072,0.002
404,mpnet,0,0.0,0.052,0.002
405,mpnet,0,0.003,0.076,0.002
406,mpnet,0,0.0,0.078,0.003
407,mpnet,0,0.003,0.148,0.003
408,mpnet,0,0.005,0.113,0.003
409,mpnet,0,0.005,0.209,0.002
410,mpnet,0,0.002,0.104,0.006
411,mpnet,0,0.008,0.419,0.004
412,mpnet,0,0.006,0.107,0.002
413,mpnet,0,0.015,0.223,0.004
414,mpnet,0,0.009,0.1,0.002
415,mpnet,0,0.003,0.083,0.002
416,mpnet,0,0.008,0.082,0.001
417,mpnet,0,0.005,0.231,0.004
418,mpnet,0,0.026,0.245,0.007
419,mpnet,0,0.001,0.062,0.002
420,mpnet,0,0.001,0.093,0.003
421,mpnet,0,0.005,0.166,0.002
422,mpnet,0,0.008,0.164,0.003
423,mpnet,0,0.001,0.073,0.001
424,mpnet,0,0.001,0.068,0.002
425,mpnet,0,0.001,0.111,0.002
426,mpnet,0,0.004,0.162,0.003
427,mpnet,0,0.0,0.091,0.003
428,mpnet,0,0.007,0.091,0.002
429,mpnet,0,0.002,0.068,0.002
430,mpnet,0,0.006,0.247,0.003
431,mpnet,0,0.001,0.065,0.002
432,mpnet,0,0.003,0.084,0.002
433,mpnet,0,0.005,0.141,0.002
