idx,query,doc,score
317,3,5058,0.0
318,3,1345,0.0
319,3,4109,0.0
320,3,6022,0.0
321,3,823,0.0
322,3,2425,0.0
323,3,3953,0.0
324,3,6246,0.0
325,3,6547,0.0
326,3,132,0.0
327,3,305,0.0
328,3,1328,0.0
329,3,2631,0.0
330,3,3125,0.0
331,3,3204,0.0
332,3,3922,0.0
333,3,4087,0.0
334,3,4168,0.0
335,3,4827,0.0
336,3,5580,0.0
337,3,5645,0.0
338,3,5928,0.0
339,3,6087,0.0
340,3,6339,0.0
341,3,6471,0.0
342,3,6596,0.0
343,3,1496,0.0
344,3,3707,0.0
345,3,3931,0.0
346,3,5433,0.0
347,3,6101,0.0
348,3,935,0.0
349,3,1463,0.0
350,3,4410,0.0
351,3,1735,0.0
352,3,2874,0.0
353,3,5539,0.0
354,3,1807,0.0
355,3,2318,0.0
356,3,4272,0.0
357,3,4344,0.0
358,3,1104,0.0
359,3,5911,0.0
360,3,106,0.0
361,3,661,0.0
362,3,758,0.0
363,3,915,0.0
364,3,974,0.0
365,3,1709,0.0
366,3,2359,0.0
367,3,2605,0.0
368,3,3377,0.0
369,3,3912,0.0
370,3,6082,0.0
371,3,6254,0.0
372,3,6535,0.0
373,3,3224,0.0
374,3,5376,0.0
375,3,13,0.0
376,3,159,0.0
377,3,715,0.0
378,3,1000,0.0
379,3,1387,0.0
380,3,1995,0.0
381,3,2075,0.0
382,3,4460,0.0
383,3,5078,0.0
384,3,6583,0.0
385,3,430,0.0
386,3,4048,0.0
387,3,2966,0.0
388,3,906,0.0
389,3,4264,0.0
390,3,3326,0.0
391,3,4792,0.0
392,3,433,0.0
393,3,598,0.0
394,3,2301,0.0
395,3,2395,0.0
396,3,4021,0.0
397,3,4239,0.0
398,3,4934,0.0
399,3,5211,0.0
400,3,6490,0.0
401,3,3882,0.0
402,3,2349,0.0
403,3,1036,0.0
404,3,2625,0.0
405,3,416,0.0
406,3,1792,0.0
407,3,3111,0.0
408,3,3989,0.0
409,3,5898,0.0
410,3,6109,0.0
411,3,6382,0.0
412,3,4002,0.0
413,3,3730,0.0
414,3,5066,0.0
415,3,3469,0.0
416,3,4438,0.0
417,3,4767,0.0
418,3,650,0.0
419,3,4467,0.0
420,3,4927,0.0
421,3,5752,0.0
422,3,4958,0.0
423,3,1798,0.0
424,3,564,0.0
425,3,884,0.0
426,3,928,0.0
427,3,1266,0.0
428,3,1830,0.0
429,3,2268,0.0
430,3,2855,0.0
431,3,4294,0.0
432,3,4592,0.0
433,3,4795,0.0
434,3,5048,0.0
435,3,5184,0.0
436,3,5201,0.0
